b
i;74304737;1
i;7899928;2
i;48532208;3
i;2763201;4
i;57002584;5
i;66276672;6
i;50647117;7
i;52943243;8
i;19224981;9
i;22961470;10
i;75064979;11
i;85554611;12
i;51333407;13
i;51391237;14
i;1193717;15
i;8496661;16
i;21902487;17
i;50347763;18
i;19501955;19
i;40622641;20
i;80497513;21
i;89798026;22
i;89737688;23
i;8221124;24
i;74444753;25
i;47510302;26
i;16589724;27
i;26555754;28
i;45991639;29
i;84703480;30
i;48886325;31
i;7933625;32
i;28304701;33
i;24319095;34
i;68288607;35
i;73417182;36
i;51428943;37
i;76462554;38
i;83924690;39
i;96564036;40
i;2633042;41
i;2142123;42
i;90523772;43
i;74473606;44
i;59490635;45
i;18641214;46
i;79347605;47
i;3939090;48
i;28598678;49
i;27691630;50
i;13580161;51
i;38647715;52
i;78009658;53
i;91072323;54
i;92824519;55
i;17141812;56
i;47255230;57
i;87340414;58
i;34969317;59
i;80647782;60
i;55264605;61
i;58108088;62
i;97925359;63
i;44899504;64
i;3531847;65
i;92611182;66
i;48596290;67
i;50727354;68
i;89561948;69
i;5272134;70
i;61935490;71
i;94453424;72
i;3926400;73
i;32542147;74
i;99054677;75
i;31028193;76
i;83184725;77
i;12514373;78
i;70087905;79
i;50363279;80
i;30479192;81
i;13631952;82
i;34878012;83
i;50459603;84
i;95785807;85
i;47271801;86
i;32540799;87
i;69699659;88
i;28605313;89
i;33067089;90
i;59575527;91
i;95067254;92
i;77303876;93
i;85538296;94
i;35428591;95
i;33077532;96
i;11363768;97
i;55934892;98
i;4280499;99
i;15844631;100
i;85480233;101
i;94146591;102
i;22314598;103
i;15983928;104
i;47741488;105
i;92125259;106
i;70839252;107
i;60940232;108
i;18054542;109
i;32465530;110
i;17373425;111
i;69852947;112
i;27530366;113
i;93624226;114
i;19168977;115
i;84213658;116
i;14717683;117
i;56715735;118
i;26631205;119
i;27341193;120
i;20375433;121
i;17902497;122
i;97712444;123
i;7093692;124
i;8899787;125
i;35106794;126
i;78591856;127
i;71256782;128
i;71572295;129
i;28102082;130
i;40817798;131
i;35691498;132
i;34471617;133
i;6999115;134
i;90577424;135
i;31595033;136
i;2191985;137
i;25724155;138
i;81871504;139
i;60122094;140
i;17437397;141
i;44293572;142
i;72110667;143
i;133978;144
i;6111291;145
i;36521245;146
i;56012602;147
i;87987186;148
i;7697208;149
i;98252041;150
i;1668011;151
i;77042809;152
i;61526777;153
i;95296919;154
i;91256382;155
i;88972505;156
i;30957123;157
i;39951982;158
i;38130976;159
i;88956396;160
i;99530537;161
i;316045;162
i;11855612;163
i;52512776;164
i;65865134;165
i;27578175;166
i;53264234;167
i;42968985;168
i;97325848;169
i;33028771;170
i;2727432;171
i;85477432;172
i;76451063;173
i;58754738;174
i;96548386;175
i;6000206;176
i;88660844;177
i;63811369;178
i;8774060;179
i;1830223;180
i;54948535;181
i;91120559;182
i;28695605;183
i;23986544;184
i;9058340;185
