br
r;68035618;78035617
r;93649480;103649479
r;95016999;105016998
r;60498374;70498373
r;6138817;16138816
r;8700025;18700024
r;78550980;88550979
r;77577214;87577213
r;91105095;101105094
r;95061908;105061907
r;11264509;21264508
r;30789246;40789245
r;81379626;91379625
r;76817487;86817486
r;12002360;22002359
r;12374000;22373999
r;29654567;39654566
r;75835512;85835511
r;93809252;103809251
r;63618027;73618026
r;27110998;37110997
r;46158583;56158582
r;14741080;24741079
r;20219860;30219859
r;63635787;73635786
r;58029849;68029848
r;30756897;40756896
r;41384458;51384457
r;49075111;59075110
r;12339383;22339382
r;15186644;25186643
r;5780439;15780438
r;55533393;65533392
r;92272014;102272013
r;20081130;30081129
r;68123890;78123889
r;43152765;53152764
r;72688735;82688734
r;79457161;89457160
r;43735892;53735891
r;25329375;35329374
r;66040964;76040963
r;38115868;48115867
r;29039654;39039653
r;16597666;26597665
r;36372241;46372240
r;5283895;15283894
r;73187694;83187693
r;79205140;89205139
r;93434576;103434575
r;90431430;100431429
r;84890167;94890166
r;52390523;62390522
r;67298382;77298381
r;78073815;88073814
r;98220059;108220058
r;3916463;13916462
r;75622304;85622303
r;37892202;47892201
r;23478308;33478307
r;92004781;102004780
r;14440630;24440629
r;45985293;55985292
r;76041100;86041099
r;62205467;72205466
r;46063306;56063305
r;15279732;25279731
r;12861676;22861675
r;34216544;44216543
r;7726764;17726763
r;92922085;102922084
r;2965946;12965945
r;51080448;61080447
r;40798374;50798373
r;85142194;95142193
r;27110998;37110997
r;74474340;84474339
r;18419654;28419653
r;14440630;24440629
r;29081244;39081243
r;9466647;19466646
r;57528685;67528684
r;93911252;103911251
r;40994051;50994050
r;33427668;43427667
r;13954544;23954543
r;28999376;38999375
r;63062591;73062590
r;86224457;96224456
r;93145707;103145706
r;24542825;34542824
r;13075691;23075690
r;48863365;58863364
r;57502983;67502982
r;74213134;84213133
r;45209017;55209016
r;4941256;14941255
r;74420893;84420892
r;60414420;70414419
r;4450641;14450640
r;28157632;38157631
r;29081244;39081243
r;75622304;85622303
r;3777833;13777832
r;86700439;96700438
r;20886594;30886593
r;6488049;16488048
r;2586867;12586866
r;88423612;98423611
r;71810822;81810821
r;86224457;96224456
r;21000521;31000520
r;17769056;27769055
r;4743117;14743116
r;32169231;42169230
r;46158583;56158582
r;29447291;39447290
r;87299356;97299355
r;31425848;41425847
r;72402885;82402884
r;72706796;82706795
r;96927982;106927981
c
br
r;30516491;40516490
r;73040755;83040754
r;15828767;25828766
r;36109021;46109020
r;11581855;21581854
r;17851516;27851515
r;29559627;39559626
r;13989443;23989442
r;10573380;20573379
r;33713044;43713043
r;66040964;76040963
r;16417314;26417313
r;44511394;54511393
r;57710276;67710275
r;39001738;49001737
r;5346588;15346587
r;65316304;75316303
r;45841369;55841368
r;72230648;82230647
r;25329375;35329374
r;51333667;61333666
r;82407959;92407958
r;32218734;42218733
r;44929386;54929385
r;83186128;93186127
r;80433581;90433580
r;984884;10984883
r;28672570;38672569
r;16958183;26958182
r;76971025;86971024
r;81537148;91537147
r;17164623;27164622
r;95616625;105616624
r;4365084;14365083
r;45277007;55277006
r;91522345;101522344
r;78301141;88301140
r;62092047;72092046
r;46398358;56398357
r;11455167;21455166
r;77916187;87916186
r;22664693;32664692
r;31940509;41940508
r;46488989;56488988
r;23491668;33491667
r;80449668;90449667
r;70116342;80116341
r;64621052;74621051
r;46437604;56437603
r;92050500;102050499
r;3372410;13372409
r;1863974;11863973
r;4725509;14725508
r;61919269;71919268
r;10386891;20386890
r;15993551;25993550
r;19359596;29359595
r;1574996;11574995
r;24750690;34750689
r;15279732;25279731
r;94674608;104674607
r;24071511;34071510
r;16700379;26700378
r;64369927;74369926
r;33814415;43814414
r;40542319;50542318
r;90804475;100804474
r;88210809;98210808
r;43472046;53472045
r;94228502;104228501
r;90540351;100540350
